GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000561,CLE,1,240,84,8,29,44,38,8,9,15,14,CHH,104,5,13,47,27,8,3,15,23
29000569,ORL,1,240,101,4,20,49,24,9,4,18,25,PHX,82,11,34,41,22,8,11,19,21
29000565,HOU,1,240,77,7,20,34,14,13,1,17,19,SAN,77,3,18,36,23,9,2,22,20
29000563,UTH,1,240,82,11,21,42,31,8,5,17,20,ATL,90,17,21,41,18,13,3,12,20
29000564,MIL,0,240,99,9,32,55,32,11,7,18,28,DEN,106,15,35,49,23,10,7,13,27
29000568,DAL,1,240,84,9,28,36,29,12,2,17,25,SEA,65,9,47,36,22,11,2,19,22
29000567,WAS,1,240,84,1,30,43,15,8,11,11,17,MIA,92,4,15,45,18,6,7,17,23
29000574,BOS,1,240,105,3,28,58,38,13,14,10,14,ORL,108,12,20,48,21,6,1,14,23
29000572,MIA,0,240,103,2,22,51,23,15,7,24,30,PHX,84,7,43,44,26,17,6,22,20
29000573,DET,1,240,72,4,26,42,18,7,1,16,19,CLE,82,6,17,38,18,6,2,14,23
29000571,IND,1,240,86,8,34,42,34,9,2,9,25,CHH,83,4,31,36,22,6,2,14,25
29000570,MIN,1,240,77,4,25,34,30,7,7,10,14,SAC,78,7,18,37,26,5,7,12,19
29000580,GOS,1,240,96,9,41,38,27,18,3,16,23,LAC,98,8,22,47,30,10,3,27,29
29000581,SAN,1,240,75,2,45,44,19,8,3,13,21,CHI,83,4,22,42,18,11,4,12,34
29000578,LAL,1,240,91,9,23,59,31,7,6,23,29,ATL,93,12,35,35,16,12,3,12,19
29000576,NYK,0,240,95,10,25,49,24,8,3,10,22,WAS,87,0,24,45,24,4,3,11,20
29000575,HOU,0,240,77,7,31,41,20,9,4,17,27,SEA,80,6,34,46,18,8,3,16,27
29000577,UTH,1,240,83,9,37,46,26,9,9,12,27,POR,82,15,31,40,17,5,7,18,31
29000579,DEN,1,240,104,13,39,58,22,12,4,20,21,NJN,106,3,26,59,22,12,7,20,26
29000589,CHH,1,240,86,5,19,37,24,7,6,10,21,BOS,85,0,23,51,22,4,7,17,21
29000584,PHL,1,240,84,2,27,47,19,11,5,11,14,PHX,87,6,16,45,28,6,6,14,20
29000586,LAC,0,240,89,3,14,40,24,6,4,16,27,LAL,79,11,37,45,21,8,6,16,18
29000582,MIA,1,240,94,3,29,39,23,13,5,12,27,IND,74,7,40,36,22,7,4,23,21
29000588,POR,1,240,80,10,42,47,28,5,4,24,28,GOS,88,13,30,38,17,9,6,18,31
29000583,MIL,1,240,72,2,58,40,19,9,2,16,24,SAC,76,9,29,33,25,9,3,19,39
